#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2023-01-04&end=2023-04-04&country=all&events=off
#
date,country,users,lower,upper,frac
2023-01-07,,2297430,,,75
2023-01-08,,2329057,,,75
2023-01-09,,2464609,,,52
2023-01-15,,2432056,,,71
2023-01-16,,2553084,,,69
2023-01-17,,2613048,,,69
2023-01-18,,2704396,,,71
2023-01-19,,2725519,,,71
2023-01-20,,2559118,,,73
2023-01-21,,2423914,,,73
2023-01-22,,2350391,,,73
2023-01-23,,2450163,,,71
2023-01-24,,2381777,,,71
2023-01-25,,2390695,,,73
2023-01-26,,2351879,,,74
2023-01-27,,2289493,,,75
2023-01-28,,2122282,,,75
2023-01-29,,2169298,,,75
2023-01-30,,2281283,,,78
2023-01-31,,2348990,,,76
2023-02-01,,2416650,,,76
2023-02-02,,2339885,,,75
2023-02-03,,2314319,,,76
2023-02-04,,2308999,,,72
2023-02-05,,2289007,,,73
2023-02-06,,2496351,,,71
2023-02-07,,2522692,,,69
2023-02-08,,2531593,,,70
2023-02-09,,2573047,,,71
2023-02-10,,2516374,,,71
2023-02-11,,2372588,,,74
2023-02-12,,2398203,,,72
2023-02-13,,2600250,,,71
2023-02-14,,2621739,,,71
2023-02-15,,2585850,,,72
2023-02-16,,2580568,,,71
2023-02-17,,2587105,,,69
2023-02-18,,2411818,,,71
2023-02-19,,2455225,,,69
2023-02-20,,2592952,,,70
2023-02-21,,2622740,,,68
2023-02-22,,2591708,,,69
2023-02-23,,2578422,,,72
2023-02-24,,2501005,,,72
2023-02-25,,2360543,,,74
2023-02-26,,2399293,,,73
2023-02-27,,2602966,,,76
2023-02-28,,2632422,,,75
2023-03-01,,2586010,,,70
2023-03-02,,2531935,,,69
2023-03-03,,2527662,,,71
2023-03-04,,2483480,,,72
2023-03-05,,2412770,,,72
2023-03-06,,2461693,,,73
2023-03-07,,2566808,,,76
2023-03-08,,2539791,,,76
2023-03-09,,2481669,,,77
2023-03-10,,2573048,,,74
2023-03-11,,2409948,,,77
2023-03-12,,2321991,,,75
2023-03-13,,2517748,,,75
2023-03-14,,2625905,,,75
2023-03-15,,2588600,,,76
2023-03-16,,2364255,,,86
2023-03-17,,2577228,,,78
2023-03-18,,2374198,,,75
2023-03-19,,2312474,,,76
2023-03-20,,2464968,,,76
2023-03-21,,2594020,,,75
2023-03-22,,2586433,,,74
2023-03-23,,2507264,,,74
2023-03-24,,2550768,,,75
2023-03-25,,2490260,,,75
2023-03-26,,2322412,,,75
2023-03-27,,2619803,,,75
2023-03-28,,2774635,,,72
2023-03-29,,2798012,,,73
2023-03-30,,2809617,,,74
2023-03-31,,2724104,,,75
2023-04-01,,2673179,,,73
2023-04-02,,2637893,,,65
